x,y
70,50
70,65
66,66
46,66
46,46
45,42
40,42
38,38
38,13
35,10
25,10
22,7
22,2
7,2
6,6
6,16
10,18
14,19
14,24
10,26
6,27
6,47
9,50
14,50
14,55
11,58
6,58
6,98
61,98
62,94
62,84
66,82
70,83
70,98
90,98
94,97
94,42
89,42
86,39
86,19
90,18
94,19
94,34
91,37
81,37
78,40
78,45
75,42
71,41
65,35
65,30
62,27
52,27
53,31
57,30
59,26
59,6
62,3
97,3
99,7
98,11
68,12
64,13
61,10
59,6
58,2
38,2
34,3
28,9
24,10
14,10
14,40
18,42
28,42
26,46
22,48
21,52
21,67
18,70
13,70
17,72
37,72
37,87
33,88
29,87
29,82
33,84
43,84
44,80
43,75
40,72
39,68
39,58
59,60
62,63
62,73
66,74
75,72
86,72
