x,y
70,50
70,51
70,52
70,53
70,54
70,55
70,56
70,57
70,58
70,59
70,60
70,61
70,62
70,63
70,64
70,65
70,66
69,66
68,66
67,66
66,66
65,66
64,66
63,66
62,66
61,66
60,66
59,66
58,66
57,66
56,66
55,66
54,66
53,66
52,66
51,66
50,66
49,66
48,66
47,66
46,66
46,65
46,64
46,63
46,62
46,61
46,60
46,59
46,58
46,57
46,56
46,55
46,54
46,53
46,52
46,51
46,50
46,49
46,48
46,47
46,46
46,45
46,44
46,43
46,42
45,42
44,42
43,42
42,42
41,42
40,42
39,42
38,42
38,41
38,40
38,39
38,38
38,37
38,36
38,35
38,34
38,33
38,32
38,31
38,30
38,29
38,28
38,27
38,26
38,25
38,24
38,23
38,22
38,21
38,20
38,19
38,18
38,17
38,16
38,15
38,14
38,13
38,12
38,11
38,10
37,10
36,10
35,10
34,10
33,10
32,10
31,10
30,10
29,10
28,10
27,10
26,10
25,10
24,10
23,10
22,10
22,9
22,8
22,7
22,6
22,5
22,4
22,3
22,2
21,2
20,2
19,2
18,2
17,2
16,2
15,2
14,2
13,2
12,2
11,2
10,2
9,2
8,2
7,2
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,18
7,18
8,18
9,18
10,18
11,18
12,18
13,18
14,18
14,19
14,20
14,21
14,22
14,23
14,24
14,25
14,26
13,26
12,26
11,26
10,26
9,26
8,26
7,26
6,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
6,34
6,35
6,36
6,37
6,38
6,39
6,40
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
6,49
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
14,51
14,52
14,53
14,54
14,55
14,56
14,57
14,58
13,58
12,58
11,58
10,58
9,58
8,58
7,58
6,58
6,59
6,60
6,61
6,62
6,63
6,64
6,65
6,66
6,67
6,68
6,69
6,70
6,71
6,72
6,73
6,74
6,75
6,76
6,77
6,78
6,79
6,80
6,81
6,82
6,83
6,84
6,85
6,86
6,87
6,88
6,89
6,90
6,91
6,92
6,93
6,94
6,95
6,96
6,97
6,98
7,98
8,98
9,98
10,98
11,98
12,98
13,98
14,98
15,98
16,98
17,98
18,98
19,98
20,98
21,98
22,98
23,98
24,98
25,98
26,98
27,98
28,98
29,98
30,98
31,98
32,98
33,98
34,98
35,98
36,98
37,98
38,98
39,98
40,98
41,98
42,98
43,98
44,98
45,98
46,98
47,98
48,98
49,98
50,98
51,98
52,98
53,98
54,98
55,98
56,98
57,98
58,98
59,98
60,98
61,98
62,98
62,97
62,96
62,95
62,94
62,93
62,92
62,91
62,90
62,89
62,88
62,87
62,86
62,85
62,84
62,83
62,82
63,82
64,82
65,82
66,82
67,82
68,82
69,82
70,82
70,83
70,84
70,85
70,86
70,87
70,88
70,89
70,90
70,91
70,92
70,93
70,94
70,95
70,96
70,97
70,98
71,98
72,98
73,98
74,98
75,98
76,98
77,98
78,98
79,98
80,98
81,98
82,98
83,98
84,98
85,98
86,98
87,98
88,98
89,98
90,98
91,98
92,98
93,98
94,98
94,97
94,96
94,95
94,94
94,93
94,92
94,91
94,90
94,89
94,88
94,87
94,86
94,85
94,84
94,83
94,82
94,81
94,80
94,79
94,78
94,77
94,76
94,75
94,74
94,73
94,72
94,71
94,70
94,69
94,68
94,67
94,66
94,65
94,64
94,63
94,62
94,61
94,60
94,59
94,58
94,57
94,56
94,55
94,54
94,53
94,52
94,51
94,50
94,49
94,48
94,47
94,46
94,45
94,44
94,43
94,42
93,42
92,42
91,42
90,42
89,42
88,42
87,42
86,42
86,41
86,40
86,39
86,38
86,37
86,36
86,35
86,34
86,33
86,32
86,31
86,30
86,29
86,28
86,27
86,26
86,25
86,24
86,23
86,22
86,21
86,20
86,19
86,18
87,18
88,18
89,18
90,18
91,18
92,18
93,18
94,18
94,19
94,20
94,21
94,22
94,23
94,24
94,25
94,26
94,27
94,28
94,29
94,30
94,31
94,32
94,33
94,34
