                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6404,                 2.2574,                 1.6858,                0.62527,                0.54783,                0.59815,                0.27897,                 1.6817,                 2.2254,                 1.6848,             0.00066376,             0.00066376,             0.00066376
                      2,                 1.5315,                 1.5918,                 1.5787,                0.69716,                0.53804,                0.61715,                 0.2373,                 2.1051,                 1.5412,                 1.9448,              0.0013173,              0.0013173,              0.0013173
                      3,                 1.5002,                 1.4341,                 1.5657,                0.70599,                0.67065,                0.72391,                0.39038,                 1.6592,                 1.3446,                 1.6836,              0.0019575,              0.0019575,              0.0019575
                      4,                 1.4723,                 1.3591,                 1.5505,                0.84853,                0.75435,                0.83651,                0.46134,                 1.5509,                 1.1248,                 1.5788,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4281,                 1.2439,                 1.5099,                0.82442,                0.74005,                0.82522,                0.47006,                 1.5615,                 1.0485,                 1.5193,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.3993,                 1.1785,                 1.4883,                0.83238,                 0.7837,                0.86178,                0.47444,                 1.5725,                0.97521,                 1.5378,               0.001901,               0.001901,               0.001901
                      7,                 1.3788,                 1.1369,                 1.4576,                0.87519,                  0.775,                0.88059,                0.51589,                 1.4617,                0.92742,                  1.453,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3501,                 1.0761,                 1.4405,                 0.8593,                0.77065,                0.86653,                0.43582,                  1.744,                 0.9692,                 1.6047,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3342,                 1.0544,                 1.4325,                0.85781,                0.77935,                0.85947,                0.47087,                 1.6238,                0.96024,                 1.5774,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.316,                 1.0224,                 1.4151,                0.88713,                0.78804,                0.88846,                0.49279,                 1.5188,                0.86619,                 1.4767,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.2987,                0.98455,                 1.4131,                0.84361,                 0.8267,                0.86328,                0.51831,                 1.3675,                 1.0097,                 1.3714,               0.001802,               0.001802,               0.001802
                     12,                 1.2798,                0.96886,                 1.3919,                0.88135,                0.81413,                0.90223,                0.52632,                 1.4616,                0.82468,                 1.4085,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2611,                0.94871,                 1.3795,                0.86672,                  0.875,                0.92346,                0.55066,                 1.4335,                 0.7474,                 1.3902,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2383,                0.91158,                 1.3623,                0.90779,                0.85543,                0.92329,                0.60187,                 1.2212,                0.69515,                 1.2832,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2217,                0.89179,                 1.3546,                 0.9053,                0.86957,                0.92541,                0.62685,                 1.1298,                0.64941,                 1.2372,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1995,                0.86667,                 1.3315,                0.89352,                 0.9121,                0.94652,                0.57532,                 1.3665,                0.71179,                 1.3448,               0.001703,               0.001703,               0.001703
